RATIO_AgT,,,,,,
Age,HP_Ratio_AgT,WS_Ratio_AgT,SP_Ratio_AgT,MM_Ratio_AgT,GA_Ratio_AgT,CG_Ratio_AgT
1,0.5,0.333333333,0.5,0.5,0.5,0.5
2,0.63577638,0.46598437,0.309915099,0.21442154,0.633449325,0.82814561
3,0.682795544,0.52351062,0.393026985,0.309444082,0.680845432,0.866580809
4,0.708328459,0.554135546,0.469712801,0.573688849,0.707073171,0.880614184
5,0.722196319,0.573494916,0.526232539,0.659527611,0.721697977,0.887372778
6,0.732407352,0.588865575,0.566276594,0.690564858,0.732400258,0.891397731
7,0.739519781,0.601519262,0.59672341,0.709447055,0.740378917,0.894337196
8,0.745393129,0.612927294,0.621025135,0.722523885,0.747106495,0.896658937
9,0.750085711,0.621078088,0.640688797,0.733059235,0.75256273,0.898594402
10,0.755890125,0.630855815,0.658318104,0.742676121,0.758704659,0.900314583
11,0.761750009,0.640032176,0.674449352,0.751549003,0.765031578,0.901925895
12,0.765651997,0.647181841,0.688373705,0.758767437,0.769830269,0.903318902
13,0.768904123,0.654916895,0.701379324,0.764996748,0.773995966,0.904613195
14,0.773958237,0.663781697,0.713484689,0.771710262,0.779153491,0.905894964
15,0.77834458,0.672073192,0.724527934,0.777726125,0.783788884,0.90713758
16,0.782305783,0.680879588,0.735023556,0.783174309,0.787953864,0.908255449
17,0.786501226,0.689415054,0.744354859,0.78853483,0.792224777,0.90935117
18,0.790274232,0.698093746,0.753215563,0.793401569,0.796089817,0.910380177
19,0.794205687,0.707421808,0.762149678,0.798225667,0.800063505,0.911396583
20,0.798595953,0.716953507,0.77097289,0.803324491,0.804476042,0.912486928
21,0.802183867,0.726247874,0.779364356,0.807661903,0.808131292,0.913471857
22,0.806270904,0.735615877,0.787651321,0.812310805,0.812233176,0.914504207
23,0.809436848,0.743407165,0.794427317,0.816064355,0.815428407,0.915386234
24,0.812666673,0.75101742,0.800857827,0.819752633,0.818639825,0.916242249
25,0.81661009,0.7593174,0.807779575,0.823986936,0.822516927,0.917192232
26,0.819784598,0.766171156,0.81335926,0.827460883,0.825629211,0.917991998
27,0.82317321,0.773426906,0.819217827,0.831085357,0.82895353,0.918852131
28,0.826110105,0.779653343,0.824130094,0.834240097,0.831823924,0.919628578
29,0.829182088,0.785970144,0.829078557,0.837459936,0.834810665,0.920414219
30,0.832491681,0.792508781,0.83420267,0.840846597,0.838015335,0.921226843
31,0.836110278,0.799497177,0.839727205,0.844497333,0.841527499,0.922110944
32,0.839060237,0.804965787,0.843930314,0.847488427,0.844374481,0.922854023
33,0.84191201,0.810419884,0.848121266,0.850367183,0.847127695,0.923596731
34,0.845103568,0.816383259,0.852767363,0.853543858,0.850215365,0.924417971
35,0.847852557,0.820971918,0.856230963,0.856269105,0.852855997,0.925125782
36,0.850652749,0.825790097,0.859902712,0.859027856,0.85554928,0.925861943
37,0.853037922,0.830098256,0.863144429,0.861375128,0.857831477,0.926509417
38,0.855414649,0.834736978,0.866685467,0.863696915,0.860104383,0.92716755
39,0.858329898,0.839136479,0.870037896,0.866506112,0.86290146,0.927921995
40,0.861115776,0.844075831,0.873882107,0.869186855,0.865574242,0.928653859
41,0.863530606,0.847916197,0.876791942,0.871507871,0.867884297,0.92932693
42,0.865815217,0.851568141,0.879555997,0.873690889,0.870063047,0.92996004
43,0.867827302,0.854998657,0.882143915,0.875611642,0.871977803,0.930564488
44,0.870139495,0.85862256,0.88491521,0.87781178,0.874189483,0.93123818
45,0.872460219,0.862209409,0.887672944,0.880006289,0.876405423,0.931891519
46,0.874332914,0.8646896,0.889484965,0.881760621,0.878176811,0.932439256
47,0.876805951,0.868228997,0.892230491,0.88408565,0.88054168,0.933116639
48,0.878965972,0.871570246,0.894822094,0.886115083,0.882603727,0.933750634
49,0.880784851,0.874256491,0.896864002,0.887815039,0.884331004,0.934319553
50,0.882432314,0.876860909,0.898844044,0.889342499,0.885887609,0.934841029
51,0.884611505,0.880090696,0.901382648,0.891380456,0.887971659,0.935489546
52,0.886262727,0.882492469,0.903218896,0.892911644,0.889537238,0.936032051
53,0.887758935,0.884838125,0.905016431,0.894289468,0.890949635,0.936535348
54,0.889519612,0.887507849,0.907106191,0.895921171,0.892625138,0.937101997
55,0.891186698,0.889825361,0.908903693,0.897460642,0.894208821,0.937649122
56,0.892647956,0.891996131,0.91058355,0.898802982,0.895591865,0.938159372
57,0.89423201,0.894308713,0.912396541,0.900258952,0.897094809,0.938677522
58,0.895754696,0.896545489,0.914153897,0.90165896,0.898540594,0.939198243
59,0.89741333,0.899051879,0.916153539,0.903190648,0.900122427,0.9397492
60,0.899082183,0.90140672,0.918031034,0.904733145,0.901716291,0.940307651
