year,W_N0P0,W_N45P0,W_N0P20,W_N45P20,FW_N0P0 all phases,FW_N45P0 all phases,FW_N0P20 all phases,FW_N45P20 all phases,FWW_N0P0 all phases,FWW_N45P0 all phases,FWW_N0P20 all phases,FWW_N45P20 all phases
1912,33541.59,33541.59,33541.59,33541.59,32698.05,32698.05,32698.05,32698.05,30015.7,30015.7,30015.7,30015.7
1922,34008,34008,34008,34008,27376.57,27376.57,27376.57,27376.57,25871.3,25871.3,25871.3,25871.3
1940,30944.16,30944.16,30944.16,30944.16,27728.87,27728.87,27728.87,27728.87,24025.89,24025.89,24025.89,24025.89
1953,30248.63,30248.63,30248.63,30248.63,26545.64,26545.64,26545.64,26545.64,23850.91,23850.91,23850.91,23850.91
1967,30158.7,30312.88,,,30108,29108.31,,,28616.25,28691,,
1973,29974.17,28223,28743,27963,26904.39,27616.88,26882.7,25203.75,26517.04,26297.14,25562.33,25238.57
1984,,,,,,,,,,,,
1995,30396.46,31760.81,31010.84,34691.99,27730.1,27663.07,27319.53,27967.54,27056.39,29388.06,26263.11,29263.71
2003,29540.65,31856.27,28618.89,33287.33,27093.64,27588.32,25969.35,28128.45,25705.14,28008.79,25238.99,28968.33
2011,30438.91,33066.51,30199.92,33818.49,25499.28,27036.54,25085.69,26506.6,25265.55,28214.31,25238.11,28023.28
