OBJECTID,ECO_ID,Cluster_ID,Soil_Zone
1,647,GRAY_2,GRAY
2,652,GRAY_3,GRAY
3,657,GRAY_2,GRAY
4,658,GRAY_2,GRAY
5,659,GRAY_2,GRAY
6,660,GRAY_1,GRAY
7,661,GRAY_2,GRAY
8,672,D_GRAY_2,DARK GRAY
9,680,GRAY_3,GRAY
10,682,GRAY_2,GRAY
11,685,GRAY_6,GRAY
12,686,GRAY_3,GRAY
13,687,D_GRAY_3,DARK GRAY
14,689,D_GRAY_3,DARK GRAY
15,690,D_GRAY_3,DARK GRAY
16,691,D_GRAY_4,DARK GRAY
17,693,D_GRAY_1,DARK GRAY
18,694,D_GRAY_1,DARK GRAY
19,695,BLK_4,BLACK
20,696,D_GRAY_3,DARK GRAY
21,697,D_GRAY_2,DARK GRAY
22,698,D_GRAY_4,DARK GRAY
23,699,GRAY_1,GRAY
24,700,GRAY_4,GRAY
25,701,BLK_4,BLACK
26,702,BLK_4,BLACK
27,704,D_GRAY_2,DARK GRAY
28,705,D_GRAY_1,DARK GRAY
29,706,D_GRAY_3,DARK GRAY
30,707,D_GRAY_1,DARK GRAY
31,709,BLK_1,BLACK
32,710,GRAY_1,GRAY
33,711,GRAY_1,GRAY
34,712,GRAY_5,GRAY
35,714,GRAY_4,GRAY
36,715,GRAY_4,GRAY
37,717,GRAY_4,GRAY
38,729,BLK_2,BLACK
39,733,BLK_1,BLACK
40,734,BLK_2,BLACK
41,735,BLK_2,BLACK
42,736,BLK_2,BLACK
43,739,D_BRN_5,DARK BROWN
44,741,BLK_2,BLACK
45,742,BLK_2,BLACK
46,743,D_BRN_1,DARK BROWN
47,745,BLK_1,BLACK
48,747,BLK_1,BLACK
49,748,BLK_1,BLACK
50,749,BLK_1,BLACK
51,751,BLK_1,BLACK
52,752,BLK_3,BLACK
53,754,BLK_3,BLACK
54,755,D_BRN_1,DARK BROWN
55,756,BLK_3,BLACK
56,760,BLK_3,BLACK
57,761,BLK_6,BLACK
58,762,D_BRN_3,DARK BROWN
59,763,BLK_5,BLACK
60,767,D_BRN_1,DARK BROWN
61,768,D_BRN_1,DARK BROWN
62,770,D_BRN_2,DARK BROWN
63,771,D_BRN_1,DARK BROWN
64,772,D_BRN_2,DARK BROWN
65,773,D_BRN_2,DARK BROWN
66,774,D_BRN_1,DARK BROWN
67,775,D_BRN_1,DARK BROWN
68,776,D_BRN_5,DARK BROWN
69,778,D_BRN_1,DARK BROWN
70,780,D_BRN_4,DARK BROWN
71,782,D_BRN_2,DARK BROWN
72,783,D_BRN_2,DARK BROWN
73,784,D_BRN_2,DARK BROWN
74,785,D_BRN_1,DARK BROWN
75,789,D_BRN_2,DARK BROWN
76,792,D_BRN_4,DARK BROWN
77,794,D_BRN_3,DARK BROWN
78,795,D_BRN_3,DARK BROWN
79,796,D_BRN_3,DARK BROWN
80,803,BRN_4,BROWN
81,805,BRN_4,BROWN
82,807,BRN_2,BROWN
83,808,BRN_4,BROWN
84,809,BRN_2,BROWN
85,810,D_BRN_6,DARK BROWN
86,811,BRN_3,BROWN
87,813,BRN_2,BROWN
88,815,BRN_3,BROWN
89,816,BRN_5,BROWN
90,817,BRN_1,BROWN
91,819,BRN_7,BROWN
92,820,BRN_1,BROWN
93,821,BRN_3,BROWN
94,822,D_BRN_6,DARK BROWN
95,824,BRN_1,BROWN
96,825,D_BRN_6,DARK BROWN
97,826,BRN_1,BROWN
98,827,BRN_3,BROWN
99,830,BRN_5,BROWN
100,831,D_BRN_3,DARK BROWN
101,832,BRN_8,BROWN
102,833,BRN_6,BROWN
103,834,BRN_1,BROWN
104,835,BRN_6,BROWN
105,837,D_BRN_6,DARK BROWN
106,838,D_BRN_7,DARK BROWN
