Year,QC,ON,AB,SK,MB,BC
Crop,CornSilage,CornSilage,CornSilage,CornSilage,CornSilage,CornSilage
1995,29200,27800,27600,27600,27600,53800
1996,27000,27300,27900,27900,27900,53800
1997,27400,26200,22700,22700,22700,44900
1998,35800,29100,32500,32500,32500,56100
1999,39460,34370,28750,28750,28750,44910
2000,28100,27490,34120,34120,34120,42810
2001,29390,23850,32330,32330,32330,56070
2002,31110,27590,25650,25650,25650,44910
2003,33710,32220,29910,29910,29910,35930
2004,37770,35870,31500,31500,31500,41980
2005,40450,37490,29010,29010,29010,66920
2006,35790,38420,39170,39170,39170,48360
2007,40420,33110,37520,37520,37520,50300
2008,35630,43270,36660,36660,36660,40420
2009,32560,41580,38270,38270,38270,44980
2010,40380,41400,31800,31800,31800,48160
2011,35090,41400,37180,37180,37180,43860
2012,33520,41170,33480,33480,33480,50240
2013,34110,44840,39220,39220,39220,54600
2014,37710,46060,33260,33260,33260,49220
2015,39250,46690,38310,38310,38310,40250
2016,43830,45710,42430,42430,42430,51800
2017,41930,50150,40670,40670,40670,44920
2018,39829,43244,,,,45920
2019,34021,39902,,,,49920
2020,33738,39140,,,,46852
